Date,Day,Rounds Played
11/22/23,Wednesday,120
11/23/23,Thursday,25
11/24/23,Friday,172
11/25/23,Saturday,123
11/26/23,Sunday,28
11/27/23,Monday,29
11/28/23,Tuesday,59
11/29/23,Wednesday,80
11/30/23,Thursday,38
12/1/23,Friday,59
12/2/23,Saturday,0
12/3/23,Sunday,28
12/4/23,Monday,27
12/5/23,Tuesday,52
12/6/23,Wednesday,46
12/7/23,Thursday,77
12/8/23,Friday,89
12/9/23,Saturday,196
12/10/23,Sunday,53
12/11/23,Monday,44
12/12/23,Tuesday,38
12/13/23,Wednesday,61
12/14/23,Thursday,68
12/15/23,Friday,107
12/16/23,Saturday,85
12/17/23,Sunday,73
12/18/23,Monday,59
12/19/23,Tuesday,65
12/20/23,Wednesday,52
